id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
131145,DONDE VIVI (1) Rooms for Rent .,645495,Viviana,,Almagro,-34.60818,-58.41911,Private room,1200,3,38,2018-09-30,0.37,2,206
131807,"Belgrano R, Private Room, Sunny ",648231,Vero,,Villa Ortuzar,-34.5771,-58.4694,Private room,2101,1,0,,,1,365
132298,Urban Escape ★ Studio with great views,319901,Ralf,,Recoleta,-34.59307,-58.40359,Entire home/apt,3901,3,112,2019-10-13,1.10,33,332
133043,Great Studio - Roof top Pool,530261,Luciano,,Recoleta,-34.59211,-58.40163,Entire home/apt,4202,3,15,2018-04-02,0.21,25,343
133654,Modern and Comfortable. Central location.Fast WiFi,426566,Egle,,Almagro,-34.61943,-58.41566,Entire home/apt,1380,4,38,2019-12-08,0.36,8,361
136986,Buena Vista - Panorama Riverviews ★★★★★,319901,Ralf,,Palermo,-34.58092,-58.42483,Entire home/apt,7203,2,129,2019-11-15,1.25,33,235
137017,Soho Sunset studio  with amazing views.,319901,Ralf,,Palermo,-34.58286,-58.42388,Entire home/apt,5402,2,187,2020-01-18,1.84,33,292
138690,STUDIO RECOLETA /PZA FRANCIA/UBA/MUSEOS/METRO,676972,Fabiana,,Recoleta,-34.59092,-58.39503,Entire home/apt,2581,2,233,2019-12-01,2.24,10,149
140142,Great 2 Bedroom/2 Bath Recoleta!,530261,Luciano,,Recoleta,-34.59327,-58.39631,Entire home/apt,5702,2,28,2020-01-02,0.29,25,342
140271,"Boedo, quiet wooded neighborhood",683383,Lorena,,Boedo,-34.6317,-58.41718,Private room,3001,1,0,,,1,365
143173,HabitacionPrivate Rooms in Congreso,499278,Nicolas,,Balvanera,-34.60735,-58.4029,Private room,1801,5,0,,,2,365
143211,Nice and bright studio in Recoleta,695054,Patricia,,Recoleta,-34.58769,-58.3999,Entire home/apt,1200,2,3,2019-10-14,0.08,3,116
143663,Apartement Buenos Aires,696693,Marcela,,Monserrat,-34.61297,-58.38701,Entire home/apt,2701,3,0,,,1,362
144192,Beautiful apartment in Buenos Aires,698994,Ruben,,Nueva Pompeya,-34.64889,-58.40792,Private room,3001,1,0,,,1,365
144827,LEMON TREE ★ 1 bedroom with great views,319901,Ralf,,Recoleta,-34.59468,-58.40493,Entire home/apt,5402,2,43,2019-12-13,0.43,33,285
146648,❤  Amazing Sunset View Studio +Balcony❤Pool -Gym,319901,Ralf,,Recoleta,-34.59435,-58.40521,Entire home/apt,3601,3,102,2020-01-07,0.99,33,321
